Level	Simulation	Output_Var	Time	Data	Prediction
1	1	GLCi	0	0.0933977	0.0976522
1	1	GLCi	0.0050005	0.0629561	0.0676813
1	1	GLCi	0.010001	0.0700079	0.0674628
1	1	GLCi	0.050005	0.0510859	0.0544756
1	1	GLCi	0.10001	0.0493534	0.0461289
1	1	GLCi	0.50005	0.0830176	0.0801365
1	1	GLCi	1	0.107961	0.0962052

1	1	ATP	0	2.0827	2.52513
1	1	ATP	0.0050005	3.27058	2.84398
1	1	ATP	0.010001	2.6356	2.91009
1	1	ATP	0.050005	3.02312	3.49936
1	1	ATP	0.10001	3.69214	4.0473
1	1	ATP	0.50005	1.83738	2.00832
1	1	ATP	1	1.72077	1.649

1	1	G6P	0	2.26918	2.52513
1	1	G6P	0.0050005	3.71967	3.71135
1	1	G6P	0.010001	3.47272	3.67883
1	1	G6P	0.050005	2.69715	2.13542
1	1	G6P	0.10001	1.04699	1.00543
1	1	G6P	0.50005	0.250978	0.25245
1	1	G6P	1	0.260117	0.232814

1	1	ADP	0	2.69119	2.52513
1	1	ADP	0.0050005	3.0529	3.10022
1	1	ADP	0.010001	3.09968	3.11956
1	1	ADP	0.050005	2.77987	2.94303
1	1	ADP	0.10001	2.20783	2.7018
1	1	ADP	0.50005	3.15078	3.23815
1	1	ADP	1	2.54523	3.17521

1	1	F6P	0	2.64245	2.52513
1	1	F6P	0.0050005	0.932219	1.0922
1	1	F6P	0.010001	0.826555	0.860898
1	1	F6P	0.050005	0.477122	0.487111
1	1	F6P	0.10001	0.238083	0.235441
1	1	F6P	0.50005	0.04867	0.0488499
1	1	F6P	1	0.0443213	0.0441127

1	1	F16bP	0	2.13828	2.52513
1	1	F16bP	0.0050005	3.97968	3.82009
1	1	F16bP	0.010001	4.29809	4.30587
1	1	F16bP	0.050005	5.40376	5.43008
1	1	F16bP	0.10001	5.39604	5.26312
1	1	F16bP	0.50005	0.654446	0.661063
1	1	F16bP	1	0.654198	0.603156

1	1	DHAP	0	2.44732	2.52513
1	1	DHAP	0.0050005	3.00116	2.88192
1	1	DHAP	0.010001	2.04904	2.09359
1	1	DHAP	0.050005	0.85724	0.878298
1	1	DHAP	0.10001	0.985227	0.867132
1	1	DHAP	0.50005	0.496873	0.45851
1	1	DHAP	1	0.43405	0.440687

1	1	GAP	0	2.89422	2.52513
1	1	GAP	0.0050005	0.11318	0.129669
1	1	GAP	0.010001	0.0969927	0.0942008
1	1	GAP	0.050005	0.0367291	0.039516
1	1	GAP	0.10001	0.0442937	0.0390138
1	1	GAP	0.50005	0.0222687	0.0206287
1	1	GAP	1	0.0215092	0.0198268

1	1	NAD	0	1.37706	1.50329
1	1	NAD	0.0050005	2.20796	2.20348
1	1	NAD	0.010001	2.06603	2.38361
1	1	NAD	0.050005	3.52506	2.94021
1	1	NAD	0.10001	2.92954	2.94283
1	1	NAD	0.50005	3.09195	2.93855
1	1	NAD	1	2.54731	2.92994

1	1	BPG	0	1.33043	1.50329
1	1	BPG	0.0050005	0.000769265	0.000731098
1	1	BPG	0.010001	0.000656387	0.000684577
1	1	BPG	0.050005	0.000658885	0.000726475
1	1	BPG	0.10001	0.000815464	0.000784871
1	1	BPG	0.50005	9.52065e-05	9.66608e-05
1	1	BPG	1	7.80573e-05	7.88755e-05

1	1	P3G	0	0.88651	0.885689
1	1	P3G	0.0050005	2.15829	1.76083
1	1	P3G	0.010001	1.70234	1.66074
1	1	P3G	0.050005	1.44388	1.38493
1	1	P3G	0.10001	1.23867	1.21934
1	1	P3G	0.50005	0.275214	0.287265
1	1	P3G	1	0.291876	0.263234

1	1	P2G	0	0.134451	0.127696
1	1	P2G	0.0050005	0.252705	0.252515
1	1	P2G	0.010001	0.284826	0.238899
1	1	P2G	0.050005	0.203179	0.198625
1	1	P2G	0.10001	0.153326	0.175017
1	1	P2G	0.50005	0.0342732	0.0405217
1	1	P2G	1	0.0292192	0.0370589

1	1	PEP	0	0.0685907	0.0632352
1	1	PEP	0.0050005	0.0530088	0.051063
1	1	PEP	0.010001	0.0437209	0.050703
1	1	PEP	0.050005	0.0466499	0.0525367
1	1	PEP	0.10001	0.0580549	0.0555497
1	1	PEP	0.50005	0.0252118	0.0217767
1	1	PEP	1	0.0204544	0.0200691

1	1	PYR	0	1.80116	1.81531
1	1	PYR	0.0050005	2.11035	1.9202
1	1	PYR	0.010001	2.04096	1.97582
1	1	PYR	0.050005	2.28837	1.9887
1	1	PYR	0.10001	2.08568	1.94486
1	1	PYR	0.50005	1.55233	1.41826
1	1	PYR	1	1.30598	1.37631

1	1	AcAld	0	0.185077	0.178141
1	1	AcAld	0.0050005	0.0319975	0.0302133
1	1	AcAld	0.010001	0.0338104	0.033281
1	1	AcAld	0.050005	0.0996446	0.106637
1	1	AcAld	0.10001	0.113362	0.107591
1	1	AcAld	0.50005	0.052263	0.0585107
1	1	AcAld	1	0.0455588	0.0505717

1	1	NADH	0	1.40212	1.50329
1	1	NADH	0.0050005	0.684676	0.8031
1	1	NADH	0.010001	0.620988	0.622975
1	1	NADH	0.050005	0.0626494	0.0663663
1	1	NADH	0.10001	0.0673576	0.0637514
1	1	NADH	0.50005	0.0708694	0.0680257
1	1	NADH	1	0.0797826	0.076641

1	1	AMP	0	2.75004	2.52513
1	1	AMP	0.0050005	1.58045	1.63119
1	1	AMP	0.010001	1.62945	1.54573
1	1	AMP	0.050005	1.22235	1.13299
1	1	AMP	0.10001	0.828723	0.826281
1	1	AMP	0.50005	2.36477	2.32891
1	1	AMP	1	3.01143	2.75117


