iter	T0	T0.005	T0.01	T0.05	T0.1	T0.5	T0	T0.005	T0.01	T0.05	T0.1	T0.5	T0	T0.005	T0.01	T0.05	T0.1	T0.5	T0	T0.005	T0.01	T0.05	T0.1	T0.5	T0	T0.005	T0.01	T0.05	T0.1	T0.5	Chosen	Variance	SD	Utility
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0597804	0.2445	0
1	0.0597345	0.0449855	0.0445442	0.0419265	0.0426819	0.0699457	0.0590407	0.0510324	0.0506487	0.0487848	0.0481619	0.0606134	0.0605517	0.0605652	0.0596294	0.0595119	0.0601062	0.0611813	0.0588395	0.0581854	0.0585899	0.0594838	0.0584201	0.0637442	0.0603808	0.0588059	0.061213	0.0753961	0.0824388	0.0877082	4	0.0419265	0.20476	0
2	0.0417048	0.0357099	0.0360307	0	0.0347615	0.05336	0.0418657	0.0380188	0.0383764	0.0371362	0.0372149	0.04215	0.0423354	0.0427829	0.0420708	0.0420205	0.0416337	0.0425653	0.0412516	0.0446722	0.0445172	0.0467873	0.0469478	0.0462708	0.042042	0.0471319	0.0492769	0.060306	0.0656223	0.0690638	5	0.0347615	0.186444	0
3	0.0345834	0.0306286	0.0309489	0	0	0.0445908	0.0346313	0.0321795	0.0324116	0.0313384	0.031505	0.0350733	0.0351151	0.0356271	0.0347981	0.0348238	0.0343476	0.0352635	0.0342125	0.0372689	0.0371358	0.039444	0.0392929	0.0383625	0.0346932	0.0398199	0.0422049	0.0496574	0.0544119	0.0575761	2	0.0306286	0.17501	0
4	0.030421	0	0.027585	0	0	0.0386907	0.0306358	0.0284796	0.0286535	0.0278237	0.0281105	0.030792	0.0308948	0.0310773	0.0306488	0.0308163	0.030115	0.0309236	0.0303378	0.0328188	0.0325463	0.0344261	0.0343326	0.0336059	0.0306265	0.0345756	0.0368454	0.0429804	0.0466909	0.0488491	3	0.027585	0.166087	0
5	0.0273298	0	0	0	0	0.0345823	0.0275729	0.0257735	0.0260217	0.0252097	0.025623	0.0279036	0.0278243	0.0278849	0.0276747	0.0277086	0.0270548	0.0277385	0.0274354	0.0295276	0.029287	0.0309683	0.0309662	0.0301351	0.0276361	0.031135	0.033087	0.0382389	0.0419993	0.0436033	10	0.0252097	0.158776	0
6	0.024999	0	0	0	0	0.0313449	0.0251071	0.0236227	0.0235532	0	0.0234824	0.0256123	0.025401	0.025286	0.0253763	0.0252499	0.0247697	0.0253884	0.0251552	0.0269329	0.0266593	0.0279869	0.02785	0.0274169	0.0252526	0.0287509	0.0300533	0.0344858	0.0370631	0.0391939	11	0.0234824	0.15324	0
7	0.0232948	0	0	0	0	0.028954	0.0232914	0.0220404	0.0220057	0	0	0.023885	0.0237493	0.023559	0.0235203	0.0233855	0.02299	0.0235585	0.023509	0.0251628	0.0248083	0.0260568	0.0257556	0.0254387	0.0233555	0.0266314	0.0278216	0.0317531	0.0335257	0.0359753	9	0.0220057	0.148343	0
8	0.0217962	0	0	0	0	0.0269231	0.0217055	0.0206805	0	0	0	0.022331	0.0221439	0.0220295	0.0219503	0.0218668	0.0216537	0.0220864	0.0221179	0.0232714	0.0232312	0.0242725	0.0239758	0.0237692	0.0219925	0.0246921	0.0256733	0.0292705	0.0304062	0.0326668	8	0.0206805	0.143807	0
9	0.0205215	0	0	0	0	0.0249476	0.0204109	0	0	0	0	0.0209456	0.0207735	0.0205921	0.0205811	0.020573	0.0202882	0.0206133	0.0207894	0.0219292	0.0216426	0.022935	0.0226257	0.0223488	0.0206092	0.0232448	0.0235863	0.0271498	0.0278192	0.0304359	17	0.0202882	0.142437	0
10	0.0201975	0	0	0	0	0.0240756	0.0199667	0	0	0	0	0.0206029	0.0203397	0.0202932	0.0201701	0.0200941	0	0.0201263	0.0203326	0.0215317	0.0211931	0.0225858	0.0220736	0.021822	0.0201094	0.0228634	0.0232523	0.0265638	0.0271034	0.0293895	7	0.0199667	0.141303	0
11	0.0199594	0	0	0	0	0.0235782	0	0	0	0	0	0.0202214	0.020025	0.020106	0.0199144	0.0195684	0	0.0196187	0.0201469	0.0211442	0.0207902	0.0221863	0.0215008	0.0215285	0.0197319	0.022451	0.0229797	0.0263576	0.0265274	0.0291626	16	0.0195684	0.139887	0
12	0.01961	0	0	0	0	0.0231762	0	0	0	0	0	0.0197689	0.0194587	0.0197287	0.0195775	0	0	0.0191144	0.019783	0.0208443	0.0205394	0.0216988	0.0213494	0.0211865	0.0195009	0.0220472	0.0226323	0.0259351	0.0259283	0.0286692	18	0.0191144	0.138255	0
13	0.0191314	0	0	0	0	0.0222808	0	0	0	0	0	0.0194703	0.0190226	0.0193011	0.0191657	0	0	0	0.019395	0.0203633	0.0199634	0.0212133	0.0206859	0.0206986	0.0188438	0.0215048	0.0220885	0.0250148	0.0251404	0.0282656	25	0.0188438	0.137273	0
14	0.0188479	0	0	0	0	0.0224736	0	0	0	0	0	0.0193205	0.0186399	0.018893	0.018839	0	0	0	0.019058	0.0201613	0.0197532	0.0209652	0.0206399	0.0204143	0	0.0212163	0.0218525	0.0250792	0.0246315	0.0282712	13	0.0186399	0.136528	0
15	0.0184187	0	0	0	0	0.0221737	0	0	0	0	0	0.0191997	0	0.0185815	0.0185822	0	0	0	0.0188139	0.0195677	0.0194402	0.0208457	0.0202819	0.0202358	0	0.020687	0.0215549	0.0239434	0.0244766	0.0273414	1	0.0184187	0.135715	0
16	0	0	0	0	0	0.0217455	0	0	0	0	0	0.0188605	0	0.0183773	0.0183154	0	0	0	0.0186073	0.0190838	0.0194267	0.0205491	0.020063	0.0200634	0	0.0203473	0.0210932	0.0234387	0.0238717	0.0270921	15	0.0183154	0.135334	0
17	0	0	0	0	0	0.0218214	0	0	0	0	0	0.0187378	0	0.0182574	0	0	0	0	0.018649	0.0190098	0.0190447	0.0205993	0.0200613	0.020071	0	0.0204232	0.0212845	0.0235073	0.0236287	0.0273777	14	0.0182574	0.13512	0
18	0	0	0	0	0	0.02099	0	0	0	0	0	0.018614	0	0	0	0	0	0	0.0187623	0.0188783	0.0190011	0.0203287	0.0198522	0.02011	0	0.0202033	0.0208637	0.0232857	0.022841	0.0268369	12	0.018614	0.136433	0
19	0	0	0	0	0	0.0215116	0	0	0	0	0	0	0	0	0	0	0	0	0.0192823	0.0187632	0.0190437	0.0208006	0.0202581	0.0203971	0	0.0203463	0.0210256	0.0234569	0.0232888	0.0267915	20	0.0187632	0.136979	0
20	0	0	0	0	0	0.0209314	0	0	0	0	0	0	0	0	0	0	0	0	0.0193658	0	0.019363	0.0211514	0.0201187	0.020535	0	0.0212887	0.0207977	0.0230297	0.0239248	0.0265752	21	0.019363	0.139151	0
21	0	0	0	0	0	0.0216812	0	0	0	0	0	0	0	0	0	0	0	0	0.019866	0	0	0.0222008	0.0212133	0.0217641	0	0.0222398	0.0215149	0.0244898	0.0261602	0.0284062	19	0.019866	0.140947	0
22	0	0	0	0	0	0.0222778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0226154	0.0214482	0.0222089	0	0.0221654	0.0216142	0.024201	0.0261694	0.0278521	23	0.0214482	0.146452	0
23	0	0	0	0	0	0.023958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241515	0	0.0241668	0	0.023254	0.0237489	0.0269723	0.0300232	0.0288614	26	0.023254	0.152493	0
24	0	0	0	0	0	0.0262778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263909	0	0.0258048	0	0	0.0253538	0.0304035	0.0334971	0.0303669	27	0.0253538	0.159229	0
25	0	0	0	0	0	0.0275526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287501	0	0.0281064	0	0	0	0.0331938	0.0396994	0.0338526	6	0.0275526	0.16599	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0305047	0	0.0301605	0	0	0	0.0359143	0.0423125	0.0333401	24	0.0301605	0.173668	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034099	0	0	0	0	0	0.0408084	0.0496951	0.0357651	22	0.034099	0.184659	0
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0481353	0.0578876	0.0413288	30	0.0413288	0.203295	0
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0592344	0.0674572	0	28	0.0592344	0.243381	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0940873	0	29	0.0940873	0.306736	0
