Convanal.out; Files used: Yeast.MCMC.A.out Yeast.MCMC.B.out Yeast.MCMC.C.out; from line 1 to line 10001 included.
Column	Parameter	Average	SD	Min	.5Pctile	2.5Pctile	97.5Pctile	99.5Pctile	Max	Rhat
2	J0_Vmax_1(1)	167	25.7	74.4	93.7	110	203	206	210	1
3	J0_Kglc_1(1)	3.65	0.902	0.475	1.1	1.64	4.92	4.98	5	1
4	J0_Ki_1(1)	1.96	1.04	0.2	0.23	0.314	3.83	3.96	4	1
5	J5_C_7(1)	2	0.84	0.206	0.467	0.682	3.75	3.93	4	1
6	J5_Vmaxf_7(1)	1930	857	231	401	596	3720	3930	4000	1
7	J5_Kgap_7(1)	0.658	0.215	0.0884	0.158	0.227	0.978	0.995	1	1
8	J5_Knad_7(1)	0.224	0.092	0.0202	0.03	0.0545	0.383	0.396	0.4	1
9	J5_Vmaxr_7(1)	15900	7100	1500	2130	3680	28500	29600	30000	1
10	J5_Kbpg_7(1)	0.0276	0.00802	0.00384	0.00768	0.0108	0.0393	0.0398	0.04	1
11	J5_Knadh_7(1)	0.174	0.073	0.0104	0.0244	0.0416	0.291	0.298	0.3	1
12	LnPrior	-23.1	8.49e-13	-23.1	-23.1	-23.1	-23.1	-23.1	-23.1	1
13	LnData	236	1.37	225	231	232	238	238	238	1
14	LnPosterior	213	1.37	202	208	209	214	215	215	1
