Convanal.out; Files used: Yeast.MCMC.Hier.A.out Yeast.MCMC.Hier.B.out Yeast.MCMC.Hier.C.out; from line 1 to line 10001 included.
Column	Parameter	Average	SD	Min	.5Pctile	2.5Pctile	97.5Pctile	99.5Pctile	Max	Rhat
2	J0_Vmax_1(1)	169	29.3	63.3	90	105	214	223	242	1.02
3	J0_Kglc_1(1)	3.08	1.07	0.302	0.455	0.813	4.8	4.95	5	1.02
4	J0_Ki_1(1)	1.93	1.04	0.2	0.23	0.323	3.82	3.96	4	1
5	J5_C_7(1)	1.98	0.88	0.209	0.4	0.612	3.79	3.94	4	1.01
6	J5_Vmaxf_7(1)	1990	903	205	363	598	3800	3940	4000	1.02
7	J5_Kgap_7(1)	0.658	0.22	0.0659	0.147	0.215	0.983	0.996	1	1
8	J5_Knad_7(1)	0.234	0.0964	0.0201	0.0304	0.0562	0.389	0.398	0.4	1.01
9	J5_Vmaxr_7(1)	15400	7380	1500	1870	3080	28900	29700	30000	1
10	J5_Kbpg_7(1)	0.0278	0.00786	0.00266	0.00797	0.0114	0.0394	0.0399	0.04	1
11	J5_Knadh_7(1)	0.167	0.0714	0.0102	0.0195	0.0368	0.288	0.297	0.3	1.01
12	J0_Vmax_1(1.1)	172	32.2	50.8	83.9	101	223	232	255	1.02
13	J0_Kglc_1(1.1)	2.46	0.581	0.346	0.9	1.21	3.41	3.63	4.11	1.02
14	J0_Ki_1(1.1)	1.92	1.09	0.2	0.214	0.277	3.87	3.98	4	1
15	J5_C_7(1.1)	1.99	0.886	0.205	0.404	0.607	3.82	3.96	4	1.01
16	J5_Vmaxf_7(1.1)	1990	910	203	340	572	3810	3960	4000	1.02
17	J5_Kgap_7(1.1)	0.659	0.221	0.0521	0.135	0.213	0.983	0.996	1	1
18	J5_Knad_7(1.1)	0.235	0.0967	0.02	0.0307	0.0562	0.39	0.398	0.4	1.01
19	J5_Vmaxr_7(1.1)	15400	7410	1500	1900	2980	28900	29800	30000	1
20	J5_Kbpg_7(1.1)	0.0278	0.0079	0.00275	0.00765	0.0113	0.0393	0.0399	0.04	1
21	J5_Knadh_7(1.1)	0.167	0.0717	0.01	0.0176	0.0358	0.288	0.297	0.3	1.01
22	J0_Vmax_1(1.2)	168	28	72.3	89.5	105	205	207	211	1.02
23	J0_Kglc_1(1.2)	3.67	0.976	0.319	0.958	1.49	4.95	4.99	5	1.02
24	J0_Ki_1(1.2)	1.85	1.07	0.2	0.216	0.27	3.84	3.96	4	1
25	J5_C_7(1.2)	1.99	0.88	0.206	0.43	0.624	3.8	3.96	4	1.02
26	J5_Vmaxf_7(1.2)	1990	902	217	391	611	3800	3960	4000	1.02
27	J5_Kgap_7(1.2)	0.66	0.22	0.0781	0.148	0.216	0.983	0.996	1	1
28	J5_Knad_7(1.2)	0.234	0.0963	0.0202	0.0332	0.0563	0.39	0.397	0.4	1.01
29	J5_Vmaxr_7(1.2)	15300	7390	1500	2000	3040	28800	29600	30000	1
30	J5_Kbpg_7(1.2)	0.0279	0.00786	0.00399	0.00798	0.0114	0.0392	0.0398	0.04	1
31	J5_Knadh_7(1.2)	0.167	0.0714	0.0106	0.0196	0.0372	0.288	0.296	0.3	1.01
32	LnPrior	-30.9	3.02	-47.2	-40.2	-37.6	-25.9	-24.8	-22.9	1
33	LnData	253	1.55	242	247	249	255	255	256	1
34	LnPosterior	222	3.41	203	211	214	228	229	231	1
