Convanal.out; Files used: Yeast.MCMC.PA.out Yeast.MCMC.PB.out Yeast.MCMC.PC.out; from line 1 to line 10001 included.
Column	Parameter	Average	SD	Min	.5Pctile	2.5Pctile	97.5Pctile	99.5Pctile	Max	Rhat
2	J0_Vmax_1(1)	96.4	5.45	81.5	85.3	87.4	109	114	124	1
3	J0_Kglc_1(1)	1.17	0.154	0.73	0.837	0.904	1.51	1.65	2	1
4	J0_Ki_1(1)	0.84	0.582	0.2	0.205	0.226	2.43	3.36	3.99	1
5	J5_C_7(1)	1.99	0.861	0.212	0.437	0.671	3.77	3.94	4	1
6	J5_Vmaxf_7(1)	2000	893	204	367	572	3760	3930	4000	1
7	J5_Kgap_7(1)	0.665	0.214	0.0995	0.16	0.227	0.979	0.995	1	1
8	J5_Knad_7(1)	0.227	0.0921	0.0201	0.0314	0.0549	0.384	0.396	0.4	1
9	J5_Vmaxr_7(1)	16000	7160	1510	2080	3510	28700	29700	30000	1
10	J5_Kbpg_7(1)	0.0276	0.00798	0.00447	0.00776	0.0109	0.0393	0.0398	0.04	1
11	J5_Knadh_7(1)	0.174	0.0723	0.0102	0.0266	0.0432	0.291	0.298	0.3	1
12	LnPrior	-23.1	8.49e-13	-23.1	-23.1	-23.1	-23.1	-23.1	-23.1	1
13	LnData	252	1.82	240	245	247	254	255	255	1
14	LnPosterior	229	1.82	217	222	224	231	231	232	1
